AirSystems
,,,,,Cooling,,,,Heating,,,Fan/Ventilation,,,Controls
Name,Type,Status,System Count,Floor Area Served,Net Capacity,Design Supply T,Capacity/Area,Supply Flow/Ton,Net Capacity,Design Supply T,Capacity/Area,Supply Flow,Supply Flow/Area,Design OA,OA/Area,Control Zone Name,Temp Control,FixedT,Supply HiT,At Outdoor,Supply LowT,At OutdoorT,ReheatCtrlMthd,Availability Schedule,Night Cycle Control
,,,(#),(ft2),(Btu/hr),(degF),(Btu/ft2),(cfm/ton),(Btu/hr),(degF),(Btu/ft2),(cfm),(cfm/ft2),(cfm),(cfm/ft2),,,(degF),(degF),(degF),(degF),( degF),,,
,,,,Relationships,,Control
Name,Control,Status,Design OA,Name,System Count,Econo Integration,Max OA Ratio,High DB Lockout,Low DB Lockout,High Enthalpy Lockout,OA Schedule Method,Delay,Schedule Name
,,,(cfm),,(#),,,(F),(F),(Btu/lb),,( hrs)
"BaseSys7or3b OACtrl","FixedDryBulb","New",329.973,"BaseAirSys7or3b",1,"Integrated",1,71,-99996,50,"FollowHVACAvailability",0,"NONE"
"BaseSys7or3b OACtrl-2","FixedDryBulb","New",418.689,"BaseAirSys7or3b-2",1,"Integrated",1,71,-99996,50,"FollowHVACAvailability",0,"NONE"
"BaseSys7or3b OACtrl-3","FixedDryBulb","New",591.029,"BaseAirSys7or3b-3",1,"Integrated",1,71,-99996,50,"FollowHVACAvailability",0,"NONE"
"BaseSys7or3b OACtrl-4","FixedDryBulb","New",928.369,"BaseAirSys7or3b-4",1,"Integrated",1,71,-99996,50,"FollowHVACAvailability",0,"NONE"
"BaseSys7or3b OACtrl-5","NoEconomizer","New",121.011,"BaseAirSys7or3b-5",1,"UNDEFINED",-99996,-99996,-99996,-99996,"FollowHVACAvailability",0,"NONE"
"BaseSys7or3b OACtrl-6","FixedDryBulb","New",672.813,"BaseAirSys7or3b-6",1,"Integrated",1,71,-99996,50,"FollowHVACAvailability",0,"NONE"
"BaseSys11 OACtrl","FixedDryBulb","New",19.7833,"BaseAirSys11",1,"Integrated",0.9,71,-99996,50,"FollowHVACAvailability",0,"NONE"
"BaseSys7or3b OACtrl-7","FixedDryBulb","New",272.706,"BaseAirSys7or3b-7",1,"Integrated",1,71,-99996,50,"FollowHVACAvailability",0,"NONE"
