; Tables for Std model AutoHardSize capacity look-up rules
,"BaseSys5 CoilHtg","HotWater","BaseAirSys5","UNDEFINED",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseSys5 CoilHtg-2","HotWater","BaseAirSys5-2","UNDEFINED",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg","Resistance","BaseAirSys7or3b","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-2","Resistance","BaseAirSys7or3b-2","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-3","Resistance","BaseAirSys7or3b-3","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-4","Resistance","BaseAirSys7or3b-4","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-5","Resistance","BaseAirSys7or3b-5","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-6","Resistance","BaseAirSys7or3b-6","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-7","Resistance","BaseAirSys7or3b-7","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-8","Resistance","BaseAirSys7or3b-8","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-9","Resistance","BaseAirSys7or3b-9","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-10","Resistance","BaseAirSys7or3b-10","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-11","Resistance","BaseAirSys7or3b-11","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-12","Resistance","BaseAirSys7or3b-12","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-13","Resistance","BaseAirSys7or3b-13","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-14","Resistance","BaseAirSys7or3b-14","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-15","Resistance","BaseAirSys7or3b-15","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-16","Resistance","BaseAirSys7or3b-16","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-17","Resistance","BaseAirSys7or3b-17","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-18","Resistance","BaseAirSys7or3b-18","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-19","Resistance","BaseAirSys7or3b-19","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseVAVBox CoilHtg","HotWater","BaseAirSys5","L1_ZN03_South Open Office",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseVAVBox CoilHtg-2","HotWater","BaseAirSys5","L1_ZN02 Core_Open Office",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseVAVBox CoilHtg-3","HotWater","BaseAirSys5-2","L2_ZN03_South Open Office",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
