,,,,,,,,,,,,Aged Thermal Emittance,,ThrmlAbs,,Aged Solar Reflectance,,SolAbs,
Name,Status,Name,Occupancy Classification,Conditioning Status,Assigned Occ Class (Ref),Area,Tilt,Slope Category,Cons Name,Construction Type,U-Factor,Roof,Cons,Roof,Cons,Roof,Cons,Roof,Cons
,,,,,,(ft2),(deg),,,,(Btu/h-?F-ft2),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),
"RCA_Conference Room 3_1_266","New","RCA_Conference Room 3 Space","Nonresidential","DirectlyConditioned","NonResidential",660.15,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Conference Room 3_1_271","New","RCA_Conference Room 3 Space","Nonresidential","DirectlyConditioned","NonResidential",187.79,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Conference Room 4_1_318","New","RCA_Conference Room 4 Space","Nonresidential","DirectlyConditioned","NonResidential",8.24,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Conference Room 4_1_327","New","RCA_Conference Room 4 Space","Nonresidential","DirectlyConditioned","NonResidential",352.91,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Corridor 4_1_166","New","RCA_Corridor 4 Space","Nonresidential","DirectlyConditioned","NonResidential",823.21,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Corridor 5_1_168","New","RCA_Corridor 5 Space","Nonresidential","DirectlyConditioned","NonResidential",3.50,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Corridor 5_1_175","New","RCA_Corridor 5 Space","Nonresidential","DirectlyConditioned","NonResidential",257.02,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Corridor 6_1_188","New","RCA_Corridor 6 Space","Nonresidential","DirectlyConditioned","NonResidential",485.02,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Corridor 7_1_202","New","RCA_Corridor 7 Space","Nonresidential","DirectlyConditioned","NonResidential",450.47,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Corridor 8_1_293","New","RCA_Corridor 8 Space","Nonresidential","DirectlyConditioned","NonResidential",7.52,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Corridor 8_1_300","New","RCA_Corridor 8 Space","Nonresidential","DirectlyConditioned","NonResidential",936.86,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Corridor 9_1_308","New","RCA_Corridor 9 Space","Nonresidential","DirectlyConditioned","NonResidential",18.75,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Corridor 9_1_313","New","RCA_Corridor 9 Space","Nonresidential","DirectlyConditioned","NonResidential",431.07,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_IT Room 2_1_374","New","RCA_IT Room 2 Space","Nonresidential","DirectlyConditioned","NonResidential",105.03,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Kitchen Break Room 1_1_233","New","RCA_Kitchen Break Room 1 Space","Nonresidential","DirectlyConditioned","NonResidential",477.21,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Open Office 4_1_89","New","RCA_Open Office 4 Space","Nonresidential","DirectlyConditioned","NonResidential",30.90,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Open Office 4_1_95","New","RCA_Open Office 4 Space","Nonresidential","DirectlyConditioned","NonResidential",896.12,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Open Office 5_1_102","New","RCA_Open Office 5 Space","Nonresidential","DirectlyConditioned","NonResidential",453.17,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Open Office 5_1_97","New","RCA_Open Office 5 Space","Nonresidential","DirectlyConditioned","NonResidential",17.52,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Open Office 6_1_113","New","RCA_Open Office 6 Space","Nonresidential","DirectlyConditioned","NonResidential",2048.30,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Restrooms 2_1_63","New","RCA_Restrooms 2 Space","Nonresidential","Unconditioned","NonResidential",811.19,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Store 1_1_248","New","RCA_Store 1 Space","Nonresidential","DirectlyConditioned","NonResidential",5.98,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Store 1_1_254","New","RCA_Store 1 Space","Nonresidential","DirectlyConditioned","NonResidential",333.73,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Store 2_1_277","New","RCA_Store 2 Space","Nonresidential","DirectlyConditioned","NonResidential",197.93,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Store 3_1_283","New","RCA_Store 3 Space","Nonresidential","DirectlyConditioned","NonResidential",133.30,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37



Exterior Wall
,,Space
Name,Status,Name,Occupancy Classification,Conditioning Status,Building Type,Area,Azimuth,Cons Name,Construction Type,U Factor,Window Area
,,,,,,(ft2),(deg),,,(Btu/h-?F-ft2),(ft2)
"B1_Gym 1_1_386","New","B1_Gym 1 Space","Nonresidential","DirectlyConditioned","NonResidential",197.40,14.9993,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,114.29
"B1_Gym 1_1_392","New","B1_Gym 1 Space","Nonresidential","DirectlyConditioned","NonResidential",128.43,15.0012,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,64.20
"B1_Gym 1_1_393","New","B1_Gym 1 Space","Nonresidential","DirectlyConditioned","NonResidential",17.17,14.9933,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"B1_Gym 1_1_394","New","B1_Gym 1 Space","Nonresidential","DirectlyConditioned","NonResidential",106.00,15.0009,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,60.86
"B1_Gym 1_1_395","New","B1_Gym 1 Space","Nonresidential","DirectlyConditioned","NonResidential",10.05,14.9987,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"B1_Gym 1_1_396","New","B1_Gym 1 Space","Nonresidential","DirectlyConditioned","NonResidential",61.53,15.0001,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,28.72
"B1_Gym 1_1_397","New","B1_Gym 1 Space","Nonresidential","DirectlyConditioned","NonResidential",61.66,105.002,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Conference Room 1_1_10","New","RCA_Conference Room 1 Space","Nonresidential","DirectlyConditioned","NonResidential",16.74,195.002,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Conference Room 1_1_11","New","RCA_Conference Room 1 Space","Nonresidential","DirectlyConditioned","NonResidential",152.01,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,97.80
"RCA_Conference Room 1_1_12","New","RCA_Conference Room 1 Space","Nonresidential","DirectlyConditioned","NonResidential",68.39,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Conference Room 1_1_13","New","RCA_Conference Room 1 Space","Nonresidential","DirectlyConditioned","NonResidential",66.42,285,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Conference Room 1_1_6","New","RCA_Conference Room 1 Space","Nonresidential","DirectlyConditioned","NonResidential",206.99,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
