,,,,,,,,,,,,Aged Thermal Emittance,,ThrmlAbs,,Aged Solar Reflectance,,SolAbs,
Name,Status,Name,Occupancy Classification,Conditioning Status,Assigned Occ Class (Ref),Area,Tilt,Slope Category,Cons Name,Construction Type,U-Factor,Roof,Cons,Roof,Cons,Roof,Cons,Roof,Cons
,,,,,,(ft2),(deg),,,,(Btu/h-?F-ft2),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),
"RCA_Store 5_2_0_4","New","Nonresidential","DirectlyConditioned","RCA_Store 5_1_365",13.31,14.9998,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"Collaboration Space 1_2_0_9","New","Nonresidential","DirectlyConditioned","Collaboration Space 1_1_219",268.83,15.0001,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"Huddle 1_2_0_7","New","Nonresidential","DirectlyConditioned","Huddle 1_1_22",13.31,14.9999,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"Huddle 1_2_0_9","New","Nonresidential","DirectlyConditioned","Huddle 1_1_22",13.31,14.9999,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"Huddle 2_2_1_5","New","Nonresidential","DirectlyConditioned","Huddle 2_1_244",45.62,14.9996,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Conference Room 2_2_0_6","New","Nonresidential","DirectlyConditioned","RCA_Conference Room 2_1_29",86.90,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Conference Room 2_2_1_5","New","Nonresidential","DirectlyConditioned","RCA_Conference Room 2_1_35",145.89,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Conference Room 2_2_2_4","New","Nonresidential","DirectlyConditioned","RCA_Conference Room 2_1_40",41.72,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Conference Room 2_2_3_6","New","Nonresidential","DirectlyConditioned","RCA_Conference Room 2_1_49",86.62,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Conference Room 4_2_0_11","New","Nonresidential","DirectlyConditioned","RCA_Conference Room 4_1_323",52.94,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Conference Room 4_2_0_13","New","Nonresidential","DirectlyConditioned","RCA_Conference Room 4_1_323",52.94,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Conference Room 4_2_0_7","New","Nonresidential","DirectlyConditioned","RCA_Conference Room 4_1_323",52.94,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Conference Room 4_2_0_9","New","Nonresidential","DirectlyConditioned","RCA_Conference Room 4_1_323",52.94,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Conference Room 4_2_0_17","New","Nonresidential","DirectlyConditioned","RCA_Conference Room 4_1_325",22.00,285,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 5_2_0_4","New","Nonresidential","DirectlyConditioned","RCA_Corridor 5_1_170",13.31,15.0005,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 7_2_0_8","New","Nonresidential","DirectlyConditioned","RCA_Corridor 7_1_196",173.85,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 7_2_0_11","New","Nonresidential","DirectlyConditioned","RCA_Corridor 7_1_197",10.67,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 7_2_0_13","New","Nonresidential","DirectlyConditioned","RCA_Corridor 7_1_197",7.11,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 7_2_0_15","New","Nonresidential","DirectlyConditioned","RCA_Corridor 7_1_197",10.67,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 7_2_0_17","New","Nonresidential","DirectlyConditioned","RCA_Corridor 7_1_197",7.11,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 7_2_0_19","New","Nonresidential","DirectlyConditioned","RCA_Corridor 7_1_197",164.37,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 7_2_0_21","New","Nonresidential","DirectlyConditioned","RCA_Corridor 7_1_197",10.50,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 7_2_0_23","New","Nonresidential","DirectlyConditioned","RCA_Corridor 7_1_197",10.50,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 7_2_0_25","New","Nonresidential","DirectlyConditioned","RCA_Corridor 7_1_197",105.98,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 9_2_0_11","New","Nonresidential","DirectlyConditioned","RCA_Corridor 9_1_315",52.94,194.999,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 9_2_0_13","New","Nonresidential","DirectlyConditioned","RCA_Corridor 9_1_315",52.94,194.999,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 9_2_0_15","New","Nonresidential","DirectlyConditioned","RCA_Corridor 9_1_315",52.94,194.999,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Kitchen Break Room 1_2_0_11","New","Nonresidential","DirectlyConditioned","RCA_Kitchen Break Room 1_1_232",7.78,15.0008,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Kitchen Break Room 1_2_0_13","New","Nonresidential","DirectlyConditioned","RCA_Kitchen Break Room 1_1_232",51.23,15.0008,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Kitchen Break Room 1_2_0_7","New","Nonresidential","DirectlyConditioned","RCA_Kitchen Break Room 1_1_232",45.05,15.0008,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Kitchen Break Room 1_2_0_9","New","Nonresidential","DirectlyConditioned","RCA_Kitchen Break Room 1_1_232",10.66,15.0008,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Open Office 4_2_0_6","New","Nonresidential","DirectlyConditioned","RCA_Open Office 4_1_93",402.51,285,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Open Office 5_2_0_11","New","Nonresidential","DirectlyConditioned","RCA_Open Office 5_1_100",13.31,15,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Open Office 5_2_0_5","New","Nonresidential","DirectlyConditioned","RCA_Open Office 5_1_100",13.31,15,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Open Office 5_2_0_7","New","Nonresidential","DirectlyConditioned","RCA_Open Office 5_1_100",13.31,15,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Open Office 5_2_0_9","New","Nonresidential","DirectlyConditioned","RCA_Open Office 5_1_100",13.31,15,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Restrooms 2_2_0_12","New","Nonresidential","Unconditioned","RCA_Restrooms 2_1_62",113.52,14.9989,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Store 1_2_0_5","New","Nonresidential","DirectlyConditioned","RCA_Store 1_1_251",13.31,14.9998,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000



Skylight
,,Space,,Exterior Roof,,,Skylight
Name,Status,Occupancy Classification,Conditioning Status,Name,Area,Tilt,Cons Name,Curb,Glazing,U Factor,SHGC,Visual Transmittance, U Factor Simulated,Inside Convection Coefficient
,,,,,(ft2),(Deg),,,,(Btu/h-?F-ft2),,,(Btu/h-?F-ft2),(Btu/h-?F-ft2)
"Class Room 1_2_0_10","New","Nonresidential","DirectlyConditioned","Class Room 1_1_291",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"Class Room 1_2_0_12","New","Nonresidential","DirectlyConditioned","Class Room 1_1_291",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"Class Room 1_2_0_14","New","Nonresidential","DirectlyConditioned","Class Room 1_1_291",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"Class Room 1_2_0_8","New","Nonresidential","DirectlyConditioned","Class Room 1_1_291",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"Collaboration Space 1_2_0_17","New","Nonresidential","DirectlyConditioned","Collaboration Space 1_1_225",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"Collaboration Space 1_2_0_19","New","Nonresidential","DirectlyConditioned","Collaboration Space 1_1_225",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Conference Room 3_2_0_11","New","Nonresidential","DirectlyConditioned","RCA_Conference Room 3_1_266",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Conference Room 3_2_0_13","New","Nonresidential","DirectlyConditioned","RCA_Conference Room 3_1_266",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Conference Room 3_2_0_15","New","Nonresidential","DirectlyConditioned","RCA_Conference Room 3_1_266",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Conference Room 3_2_0_17","New","Nonresidential","DirectlyConditioned","RCA_Conference Room 3_1_266",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Conference Room 3_2_0_7","New","Nonresidential","DirectlyConditioned","RCA_Conference Room 3_1_266",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Conference Room 3_2_0_9","New","Nonresidential","DirectlyConditioned","RCA_Conference Room 3_1_266",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Conference Room 3_2_1_6","New","Nonresidential","DirectlyConditioned","RCA_Conference Room 3_1_271",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Corridor 4_2_0_20","New","Nonresidential","DirectlyConditioned","RCA_Corridor 4_1_166",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Corridor 4_2_0_22","New","Nonresidential","DirectlyConditioned","RCA_Corridor 4_1_166",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Corridor 4_2_0_24","New","Nonresidential","DirectlyConditioned","RCA_Corridor 4_1_166",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Corridor 4_2_0_26","New","Nonresidential","DirectlyConditioned","RCA_Corridor 4_1_166",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Corridor 6_2_0_13","New","Nonresidential","DirectlyConditioned","RCA_Corridor 6_1_188",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Corridor 6_2_0_15","New","Nonresidential","DirectlyConditioned","RCA_Corridor 6_1_188",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Corridor 8_2_0_11","New","Nonresidential","DirectlyConditioned","RCA_Corridor 8_1_300",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Corridor 8_2_0_13","New","Nonresidential","DirectlyConditioned","RCA_Corridor 8_1_300",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Corridor 8_2_0_15","New","Nonresidential","DirectlyConditioned","RCA_Corridor 8_1_300",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Corridor 8_2_0_9","New","Nonresidential","DirectlyConditioned","RCA_Corridor 8_1_300",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Corridor 9_2_0_7","New","Nonresidential","DirectlyConditioned","RCA_Corridor 9_1_313",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Kitchen Break Room 1_2_0_16","New","Nonresidential","DirectlyConditioned","RCA_Kitchen Break Room 1_1_233",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Kitchen Break Room 1_2_0_18","New","Nonresidential","DirectlyConditioned","RCA_Kitchen Break Room 1_1_233",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Open Office 6_2_0_11","New","Nonresidential","DirectlyConditioned","RCA_Open Office 6_1_113",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Open Office 6_2_0_13","New","Nonresidential","DirectlyConditioned","RCA_Open Office 6_1_113",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Open Office 6_2_0_15","New","Nonresidential","DirectlyConditioned","RCA_Open Office 6_1_113",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Open Office 6_2_0_17","New","Nonresidential","DirectlyConditioned","RCA_Open Office 6_1_113",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Open Office 6_2_0_19","New","Nonresidential","DirectlyConditioned","RCA_Open Office 6_1_113",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Open Office 6_2_0_21","New","Nonresidential","DirectlyConditioned","RCA_Open Office 6_1_113",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Open Office 6_2_0_23","New","Nonresidential","DirectlyConditioned","RCA_Open Office 6_1_113",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Open Office 6_2_0_25","New","Nonresidential","DirectlyConditioned","RCA_Open Office 6_1_113",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Open Office 6_2_0_27","New","Nonresidential","DirectlyConditioned","RCA_Open Office 6_1_113",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Open Office 6_2_0_29","New","Nonresidential","DirectlyConditioned","RCA_Open Office 6_1_113",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Open Office 6_2_0_31","New","Nonresidential","DirectlyConditioned","RCA_Open Office 6_1_113",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Open Office 6_2_0_33","New","Nonresidential","DirectlyConditioned","RCA_Open Office 6_1_113",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Open Office 6_2_0_35","New","Nonresidential","DirectlyConditioned","RCA_Open Office 6_1_113",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Restrooms 2_2_0_15","New","Nonresidential","Unconditioned","RCA_Restrooms 2_1_63",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Restrooms 2_2_0_17","New","Nonresidential","Unconditioned","RCA_Restrooms 2_1_63",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000
"RCA_Store 2_2_0_6","New","Nonresidential","DirectlyConditioned","RCA_Store 2_1_277",3.36,0,"Skylight","CurbMounted","Glass",0.300,0.25,0.5,0.30000,-99996.00000



Interior Wall
,,Space
Name,Status,Name,Occupancy Classification,Conditioning Status,Area,Azimuth,Cons Name,Construction Type,U Factor
,,,,,(ft2),(deg),,,(Btu/h-?F-ft2)
"B1_Changing 1_1_408","New","B1_Changing 1 Space","Nonresidential","DirectlyConditioned",306.36,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"B1_Changing 1_1_409","New","B1_Changing 1 Space","Nonresidential","DirectlyConditioned",134.54,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"B1_Changing 1_1_410","New","B1_Changing 1 Space","Nonresidential","DirectlyConditioned",306.37,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"B1_Changing 1_1_411","New","B1_Changing 1 Space","Nonresidential","DirectlyConditioned",134.55,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"B1_Gym 1_1_398","New","B1_Gym 1 Space","Nonresidential","DirectlyConditioned",67.23,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"B1_Gym 1_1_401","New","B1_Gym 1 Space","Nonresidential","DirectlyConditioned",169.04,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"B1_Gym 1_1_402","New","B1_Gym 1 Space","Nonresidential","DirectlyConditioned",111.80,-99996,"NACM_Interior Wall","MetalFrameWall",0.141
"B1_Gym 1_1_403","New","B1_Gym 1 Space","Nonresidential","DirectlyConditioned",176.65,-99996,"NACM_Interior Wall","MetalFrameWall",0.141
"B1_Gym 1_1_404","New","B1_Gym 1 Space","Nonresidential","DirectlyConditioned",66.60,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"B1_Gym 1_1_405","New","B1_Gym 1 Space","Nonresidential","DirectlyConditioned",86.79,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 1_1_14","New","RCA_Conference Room 1 Space","Nonresidential","DirectlyConditioned",110.42,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 1_1_4","New","RCA_Conference Room 1 Space","Nonresidential","DirectlyConditioned",765.16,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 1_1_5","New","RCA_Conference Room 1 Space","Nonresidential","DirectlyConditioned",176.84,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 5_1_414","New","RCA_Conference Room 5 Space","Nonresidential","DirectlyConditioned",703.21,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 5_1_415","New","RCA_Conference Room 5 Space","Nonresidential","DirectlyConditioned",126.58,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 6_1_457","New","RCA_Conference Room 6 Space","Nonresidential","DirectlyConditioned",208.64,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 6_1_458","New","RCA_Conference Room 6 Space","Nonresidential","DirectlyConditioned",277.92,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 6_1_459","New","RCA_Conference Room 6 Space","Nonresidential","DirectlyConditioned",406.59,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 6_1_460","New","RCA_Conference Room 6 Space","Nonresidential","DirectlyConditioned",277.92,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 6_1_463","New","RCA_Conference Room 6 Space","Nonresidential","DirectlyConditioned",162.38,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 6_1_464","New","RCA_Conference Room 6 Space","Nonresidential","DirectlyConditioned",197.95,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 6_1_465","New","RCA_Conference Room 6 Space","Nonresidential","DirectlyConditioned",162.38,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 1_1_505","New","RCA_Corridor 1 Space","Nonresidential","DirectlyConditioned",72.97,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 1_1_506","New","RCA_Corridor 1 Space","Nonresidential","DirectlyConditioned",234.20,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 1_1_507","New","RCA_Corridor 1 Space","Nonresidential","DirectlyConditioned",497.40,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 1_1_508","New","RCA_Corridor 1 Space","Nonresidential","DirectlyConditioned",283.03,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 1_1_509","New","RCA_Corridor 1 Space","Nonresidential","DirectlyConditioned",91.58,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 1_1_510","New","RCA_Corridor 1 Space","Nonresidential","DirectlyConditioned",156.35,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 1_1_511","New","RCA_Corridor 1 Space","Nonresidential","DirectlyConditioned",70.14,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 1_1_513","New","RCA_Corridor 1 Space","Nonresidential","DirectlyConditioned",162.38,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 1_1_514","New","RCA_Corridor 1 Space","Nonresidential","DirectlyConditioned",208.64,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 1_1_518","New","RCA_Corridor 1 Space","Nonresidential","DirectlyConditioned",93.64,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 10_1_345","New","RCA_Corridor 10 Space","Nonresidential","DirectlyConditioned",123.19,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 10_1_346","New","RCA_Corridor 10 Space","Nonresidential","DirectlyConditioned",27.43,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 10_1_347","New","RCA_Corridor 10 Space","Nonresidential","DirectlyConditioned",196.25,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 10_1_349","New","RCA_Corridor 10 Space","Nonresidential","DirectlyConditioned",141.30,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 10_1_350","New","RCA_Corridor 10 Space","Nonresidential","DirectlyConditioned",129.82,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 10_1_353","New","RCA_Corridor 10 Space","Nonresidential","DirectlyConditioned",175.76,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 11_1_379","New","RCA_Corridor 11 Space","Nonresidential","DirectlyConditioned",74.51,-99996,"NACM_Interior Wall","MetalFrameWall",0.141
"RCA_Corridor 11_1_380","New","RCA_Corridor 11 Space","Nonresidential","DirectlyConditioned",38.35,-99996,"NACM_Interior Wall","MetalFrameWall",0.141
"RCA_Corridor 14_1_422","New","RCA_Corridor 14 Space","Nonresidential","DirectlyConditioned",99.77,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 14_1_435","New","RCA_Corridor 14 Space","Nonresidential","DirectlyConditioned",93.64,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 14_1_436","New","RCA_Corridor 14 Space","Nonresidential","DirectlyConditioned",20.30,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 14_1_437","New","RCA_Corridor 14 Space","Nonresidential","DirectlyConditioned",88.85,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 14_1_438","New","RCA_Corridor 14 Space","Nonresidential","DirectlyConditioned",428.67,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 16_1_444","New","RCA_Corridor 16 Space","Nonresidential","DirectlyConditioned",251.25,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 16_1_451","New","RCA_Corridor 16 Space","Nonresidential","DirectlyConditioned",110.70,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 16_1_452","New","RCA_Corridor 16 Space","Nonresidential","DirectlyConditioned",101.16,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 2_1_115","New","RCA_Corridor 2 Space","Nonresidential","DirectlyConditioned",371.93,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 2_1_116","New","RCA_Corridor 2 Space","Nonresidential","DirectlyConditioned",114.99,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 2_1_118","New","RCA_Corridor 2 Space","Nonresidential","DirectlyConditioned",311.17,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 2_1_119","New","RCA_Corridor 2 Space","Nonresidential","DirectlyConditioned",175.76,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 3_1_128","New","RCA_Corridor 3 Space","Nonresidential","DirectlyConditioned",69.11,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 3_1_130","New","RCA_Corridor 3 Space","Nonresidential","DirectlyConditioned",316.66,-99996,"NACM_Interior Wall","MetalFrameWall",0.141
"RCA_Corridor 3_1_132","New","RCA_Corridor 3 Space","Nonresidential","DirectlyConditioned",223.49,-99996,"NACM_Interior Wall","MetalFrameWall",0.141
