"MF08_Individual Supply + Individual Exhaust (WSHP)  /  Proposed  /  EX03_MF08_Central-WSHP_CZ09.cibd25x",001
"Thu 11-Jun-26  10: pm"
"x-ldPass","Hour"
"Month","Day","Hr","CW Loop-HtgLd (Btu)","ClgLd (Btu)","NetLd (Btu)","DemFlw (gpm)","ActualFlw (gpm)","NetLd (W)","FlowFrac"
1,10,3,0,0,0,0,14.1,0,0
1,10,4,0,0,0,0,14.1,0,0
1,10,5,0,0,0,0,14.1,0,0
1,10,6,0,0,0,0,14.1,0,0
1,10,7,0,0,0,0,14.1,0,0
1,10,8,0,0,0,0,14.1,0,0
1,10,9,0,0,0,0,14.1,0,0
1,10,10,0,0,0,0,14.1,0,0
1,10,11,0,0,0,0,14.1,0,0
1,10,12,0,0,0,0,14.1,0,0
1,10,13,0,0,0,0,14.1,0,0
1,10,14,0,0,0,0,14.1,0,0
1,10,15,0,0,0,0,14.1,0,0
1,10,16,0,0,0,0,14.1,0,0
1,10,17,0,0,0,0,14.1,0,0
1,10,18,0,0,0,0,14.1,0,0
1,10,19,0,0,0,0,14.1,0,0
1,10,20,0,0,0,0,14.1,0,0
1,10,21,0,0,0,0,14.1,0,0
1,10,22,0,0,0,0,14.1,0,0
1,10,23,0,0,0,0,14.1,0,0
1,10,24,0,0,0,0,14.1,0,0
1,11,1,0,0,0,0,14.1,0,0
1,11,2,0,0,0,0,14.1,0,0
1,11,3,0,0,0,0,14.1,0,0
1,11,4,0,0,0,0,14.1,0,0
1,11,5,0,0,0,0,14.1,0,0
1,11,6,0,0,0,0,14.1,0,0
1,11,7,0,0,0,0,14.1,0,0
1,11,8,0,0,0,0,14.1,0,0
1,11,9,0,0,0,0,14.1,0,0
1,11,10,0,0,0,0,14.1,0,0
1,11,11,0,0,0,0,14.1,0,0
1,11,12,0,0,0,0,14.1,0,0
1,11,13,0,0,0,0,14.1,0,0
1,11,14,0,0,0,0,14.1,0,0
1,11,15,0,0,0,0,14.1,0,0
1,11,16,0,0,0,0,14.1,0,0
1,11,17,0,0,0,0,14.1,0,0
1,11,18,0,0,0,0,14.1,0,0
1,11,19,0,0,0,0,14.1,0,0
1,11,20,0,0,0,0,14.1,0,0
1,11,21,0,0,0,0,14.1,0,0
1,11,22,0,0,0,0,14.1,0,0
1,11,23,0,0,0,0,14.1,0,0
1,11,24,0,0,0,0,14.1,0,0
1,12,1,0,0,0,0,14.1,0,0
1,12,2,0,0,0,0,14.1,0,0
1,12,3,0,0,0,0,14.1,0,0
1,12,4,0,0,0,0,14.1,0,0
1,12,5,0,0,0,0,14.1,0,0
1,12,6,0,0,0,0,14.1,0,0
1,12,7,0,0,0,0,14.1,0,0
1,12,8,0,0,0,0,14.1,0,0
1,12,9,0,0,0,0,14.1,0,0
1,12,10,0,0,0,0,14.1,0,0
1,12,11,0,0,0,0,14.1,0,0
1,12,12,0,0,0,0,14.1,0,0
