,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult)
1,1,22, 01/01 22,0,0,0.58638,0,0,0,0.407313,1.47283,0,0.00926056,0,0.993693,2.47578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64531,626.966,894.518,4.51762,89.9626,100,0.000239027,0.0054633,0.006288,0,0,-2.47518,2.56969,
1,1,23, 01/01 23,0.1945,0.00567458,1.63344,0,0,0,0.407313,1.47283,0,0.00926056,0,2.24093,3.72302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34658,626.966,894.518,4.52964,89.9626,100,0.000239663,0.0054633,0.006288,0.000277533,0,-3.72213,3.10645,
1,1,24, 01/01 24,0.72391,0.0226983,3.08847,0,0,0,0.407313,1.47283,0,0.00926056,0,4.24239,5.72448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.44597,626.966,894.518,4.53692,89.9626,100,0.000240048,0.0054633,0.006288,0.000718441,0,-5.72308,3.94794,
1,2,1, 01/02 01,0.71807,0.0226983,4.00931,0,0,0,0.407313,1.47283,0,0.00926056,0,5.15739,6.63948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5414,626.966,894.518,8.44344,89.9626,100,0.000446742,0.0054633,0.006288,0.000518385,0,-6.63786,5.55184,
1,2,2, 01/02 02,0.905846,0.0269544,3.77774,0,0,0,0.407313,1.47283,0,0.00926056,0,5.11786,6.59995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59457,626.966,894.518,8.43068,89.9626,100,0.000446067,0.0054633,0.006288,0.000175212,0,-6.59836,4.8271,
1,2,3, 01/02 03,1.04468,0.0226983,4.0454,0,0,0,0.407313,1.47283,0,0.00926056,0,5.52009,7.00218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17595,626.966,894.518,8.07648,89.9626,100,0.000427327,0.0054633,0.006288,0.000173941,0,-7.00047,4.50669,
1,2,4, 01/02 04,1.20811,0.0226983,4.27952,0,0,0,0.407313,1.47283,0,0.00926056,0,5.91764,7.39973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84334,626.966,894.518,5.75461,89.9626,100,0.000304476,0.0054633,0.006288,0.000305397,0,-7.39793,3.48668,
1,2,5, 01/02 05,1.1873,0.02535,4.56611,0,0,0,0.41061,1.47283,0,0.00926056,0,6.18937,7.67146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44165,626.966,894.518,4.70149,89.9626,100,0.000248756,0.0054633,0.006288,0.000305397,0,-7.01155,3.17922,
1,2,6, 01/02 06,15.8198,0.0226983,7.82696,0,0,0,0.82122,2.28618,0,0.0185211,0.0875426,24.4907,26.8829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83044,626.966,894.518,5.73985,89.9626,100,0.000303695,0.0054633,0.006288,0.000305397,0,0,3.4768,
1,2,7, 01/02 07,9.77446,0.0226983,7.82696,0,0,0,0.834409,2.28618,0,0.0185211,0.0875426,18.4585,20.8508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69625,626.966,894.518,7.50866,89.9626,100,0.000397283,0.0054633,0.006288,0.000705071,0,0,4.90494,
1,2,8, 01/02 08,6.8675,0.0226983,7.82696,0,0,0,2.10166,5.53958,0,0.0555634,0.0875426,16.8188,22.5015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.57896,626.966,894.518,6.16084,89.9626,100,0.00032597,0.0054633,0.006288,0.000176325,-0.101754,0,3.28432,
1,2,9, 01/02 09,2.33238,0.0226983,7.82696,0,0,0,3.01013,15.2998,0,0.120387,0.0875426,13.1922,28.6999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44377,626.966,894.518,5.20798,89.9626,100,0.000275554,0.0054633,0.006288,0,-2.40901,0,2.41543,
1,2,10, 01/02 10,0.703189,0,7.82696,0,0,0,2.94155,15.2998,0,0.120387,0.0875426,11.4717,26.9794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4219,626.966,894.518,5.20583,89.9626,100,0.00027544,0.0054633,0.006288,0,-2.55622,0,2.39868,
1,2,11, 01/02 11,0.29782,0,7.82696,0,0,0,2.91852,15.2998,0,0.120387,0.0875426,11.0433,26.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42108,626.966,894.518,5.22056,89.9626,100,0.00027622,0.0054633,0.006288,0,-3.41562,0,2.39806,
1,2,12, 01/02 12,0.22193,0,7.82696,0,0,0,2.9027,15.2998,0,0.120387,0.0875426,10.9516,26.4593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41679,626.966,894.518,4.12507,89.9626,100,0.000218257,0.0054633,0.006288,0,-4.17329,0,2.39477,
1,2,13, 01/02 13,0.313798,0,7.82696,0,0,0,2.90997,15.2998,0,0.120387,0.0875426,11.0507,26.5584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41282,626.966,894.518,4.06489,89.9626,100,0.000215074,0.0054633,0.006288,0,-4.43927,0,2.39174,
1,2,14, 01/02 14,0.313402,0.00567458,7.82696,0,0,0,2.9862,15.2998,0,0.120387,0.0875426,11.1322,26.6399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42203,626.966,894.518,4.09321,89.9626,100,0.000216572,0.0054633,0.006288,0,-2.20609,0,2.39879,
1,2,15, 01/02 15,0.62208,0.0226983,7.82696,0,0,0,3.0234,15.2998,0,0.120387,0.0875426,11.4951,27.0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42812,626.966,894.518,4.08768,89.9626,100,0.000216279,0.0054633,0.006288,0,-2.47102,0,2.40344,
1,2,16, 01/02 16,0.677442,0.0226983,7.82696,0,0,0,3.6771,15.2998,0,0.120387,0.0875426,12.2042,27.7119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71802,626.966,894.518,4.78592,89.9626,100,0.000253223,0.0054633,0.006288,0,-0.99363,0,2.62534,
